circle_5_10,0,1,2,3,4,5
2101117771111-03+00,-6.07,-3.05,-5.97,-5.97,-5.97,-5.97
0012100001111-04+00,-35.335,-43.074,-21.54,-71.68,-74.438,-31.024
0012100001111-03-01,-20.01,-35.923,-44.584,-33.476,-68.861,-64.051
0101116001111-03+00,0.0,0.0,-7.613,0.0,0.0,0.0
0012160001111-03-01,-7.69,-7.722,-7.751,-8.005,0.0,0.0
2121600001111-02-02,-5.94,0.0,-7.829,0.0,0.0,0.0
2210000011111-02-02,-7.908,-7.884,-12.053,-11.494,-7.915,-14.724
2121600001111-02-01,-7.988,-8.035,-8.063,0.0,0.0,0.0
3012160001111-02+00,-8.068,0.0,0.0,0.0,0.0,0.0
3712177001111-02-01,-3.0,0.0,0.0,0.0,0.0,0.0
1111000111010+00-04,-19.243,-6.333,-22.56,-18.794,-20.893,-22.033
1111000012102+00-02,-29.15,-21.121,-47.264,-21.055,-79.237,-20.03
1111000001212+00-01,-9.882,-4.231,-4.395,-10.073,-1.874,-7.459
1111030001212+00-01,-5.067,-0.95,-0.768,-6.592,0.0,0.0
1111030001212+00-02,-4.418,-11.162,0.997,-2.883,-6.296,-6.964
1111030001212+01-02,-9.342,-3.942,-15.319,-5.323,-5.334,-7.508
1111300012102+01-03,-10.293,-5.443,-10.889,-6.421,-34.678,-54.57
1111000111010+01-04,-31.594,-40.685,-62.423,-52.632,-47.574,-22.933
1111600012102+01-03,-5.677,-5.812,-8.981,-4.953,-4.964,0.0
1111060001212+01-02,-5.734,-5.744,-5.755,-6.086,-38.326,0.0
1111700111010+01-04,-13.154,-9.408,-11.563,-13.101,-15.275,-13.953
1111770012102+02-03,-5.94,-5.93,-7.81,-5.962,-5.92,-5.871
1111777001212+02-01,-3.0,0.0,0.0,0.0,0.0,0.0
2101110001111-04+02,-17.108,-19.555,-21.247,-16.689,-15.929,-19.523
0122110101001-03+00,-5.888,-11.317,-6.787,-5.939,-10.309,-6.221
0122113101001-02+00,-6.284,-7.947,-6.838,-13.561,-13.524,-7.046
2131110001111-03+00,-47.02,-19.746,-14.45,-23.662,-70.594,-57.702
2131110001111-04+00,-6.441,-8.438,-6.854,-7.525,-4.939,-5.031
2131110001111-04+01,-47.526,-85.437,-13.538,-50.96,-58.799,-77.985
2310100001111-04+00,-3.183,-57.164,-54.789,-34.137,-66.46,-58.512
0101000001111-04-01,-54.136,-77.881,-49.684,-11.428,-40.061,-54.385
2610100001111-04+00,-28.138,-40.723,-13.573,-48.894,-30.484,-51.759
2161110001111-04+01,-51.0,-53.766,-22.659,-48.965,-53.958,-47.54
2710170001111-04+00,-7.97,-7.938,-4.264,-9.647,-26.74,-7.89
7171117001111-04+01,-9.059,-9.059,-11.821,-8.91,-8.91,-8.91
0101000111111-04-03,-23.079,-41.237,-107.118,-37.492,-85.54,-62.304
2210000011111-04-01,-14.768,-15.716,-19.732,-12.977,-61.027,-15.056
0121000001111-03+00,-16.922,-64.574,-22.82,-44.968,-23.269,-14.372
2012100001111-02+01,-9.611,-11.589,-17.856,-21.067,-45.714,-11.86
0101110001111-02+02,-29.709,-18.934,-15.261,-16.714,-51.983,-71.837
0101110001111-03+02,-48.73,-19.545,-26.04,-45.238,-36.757,-18.371
2012100001111-04+01,-17.979,-17.112,-23.107,-17.727,-30.68,-27.509
3121000001111-04+00,-16.642,-7.493,-7.537,-5.589,-40.993,-9.568
6121000001111-04+00,-6.446,-6.418,-6.2,0.0,0.0,0.0
7017100001111-04+01,-6.844,-7.757,-3.928,-6.976,-26.02,0.0
0101113001111-03+04,-26.714,-38.798,-25.122,-23.846,-25.305,-26.473
0101113001111-02+04,-18.905,-16.636,-16.649,-17.296,-20.768,-19.42
0101113001111-01+04,-28.406,-37.92,-24.67,-26.524,-46.011,-24.998
0101113001111+00+04,-12.791,-82.782,-12.165,-13.044,-9.043,-10.423
0101113001111+00+03,-49.992,-21.943,-24.073,-23.107,-23.52,-88.492
0010130031111-01+03,-7.326,-7.361,-14.742,0.0,0.0,0.0
0101300301111-01+02,-14.892,-5.426,0.0,0.0,0.0,0.0
0010160031111-01+03,-7.69,-7.722,-15.481,0.0,0.0,0.0
0101600301111-01+02,-7.829,-5.442,-5.456,-5.47,-11.095,0.0
0101600601111-01+02,-7.988,-7.988,0.0,0.0,0.0,0.0
0010160061111-01+03,-8.068,0.0,0.0,0.0,0.0,0.0
0710177061111-01+03,-3.0,0.0,0.0,0.0,0.0,0.0
2101000111111+00-04,-24.481,-25.755,-27.89,-27.166,-25.695,-26.139
0221010110011+00-04,-30.742,-64.013,-33.662,-47.571,-72.911,-30.036
0221010110011-01-04,-19.724,-11.572,-11.403,-13.849,-12.705,-22.34
